[run.sh] candidate=qwen3-14b api_alias=big-thinker label=qwen3_14b
START 131 chunks | model=qwen3-14b schema=probe_qwen3_14b
16:47:08 [1/131] 00b91853 | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 0 recs | elapsed 1m eta ~108m
16:47:58 [2/131] 01c962d1 | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 0 recs | elapsed 2m eta ~107m
16:48:06 [3/131] 0218d73a | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 0 recs | elapsed 2m eta ~76m
16:48:55 [4/131] 02866c89 | 6 props | 4 grounded 2 bounced 0 miss | 9s | total 4 recs | elapsed 3m eta ~83m
16:49:44 [5/131] 033f651c | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 4 recs | elapsed 3m eta ~87m
16:50:33 [6/131] 03e87fde | 7 props | 7 grounded 0 bounced 0 miss | 8s | total 11 recs | elapsed 4m eta ~89m
16:51:23 [7/131] 04cfa1b6 | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 11 recs | elapsed 5m eta ~90m
16:52:13 [8/131] 0526db35 | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 11 recs | elapsed 6m eta ~91m
16:53:03 [9/131] 05eeb863 | 6 props | 3 grounded 3 bounced 0 miss | 7s | total 14 recs | elapsed 7m eta ~91m
16:53:54 [10/131] 06140f01 | 10 props | 10 grounded 0 bounced 0 miss | 10s | total 24 recs | elapsed 8m eta ~92m
16:54:44 [11/131] 06636e2b | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 24 recs | elapsed 8m eta ~92m
16:55:24 [12/131] 068761f4 | 7 props | 3 grounded 2 bounced 2 miss | 6s | total 27 recs | elapsed 9m eta ~90m
16:56:18 [13/131] 07816deb | 8 props | 5 grounded 3 bounced 0 miss | 11s | total 32 recs | elapsed 10m eta ~91m
16:56:36 [14/131] 087eea79 | 1 props | 1 grounded 0 bounced 0 miss | 1s | total 33 recs | elapsed 10m eta ~86m
16:57:25 [15/131] 0a12cf2d | 6 props | 4 grounded 1 bounced 1 miss | 7s | total 37 recs | elapsed 11m eta ~86m
16:58:14 [16/131] 0cf406a0 | 0 props | 0 grounded 0 bounced 0 miss | 0s | total 37 recs | elapsed 12m eta ~86m
16:58:53 [17/131] 0d23571f | 5 props | 5 grounded 0 bounced 0 miss | 6s | total 42 recs | elapsed 13m eta ~84m
16:59:43 [18/131] 116b49f5 | 6 props | 3 grounded 2 bounced 1 miss | 6s | total 45 recs | elapsed 13m eta ~84m
